,Title,Difficult,Description,Link,Departments,Topics,urls
10,Physics and Chemistry of the Terrestrial Planets,Undergraduate,"This course introduces the structure, composition, and physical processes governing the terrestrial planets, including their formation and basic orbital properties. Topics include plate tectonics, earthquakes, seismic waves, rheology, impact cratering, gravity and magnetic fields, heat flux, thermal structure, mantle convection, deep interiors, planetary magnetism, and core dynamics. Suitable for majors and non-majors seeking general background in geophysics and planetary structure.Show less",https://ocw.mit.edu/courses/12-002-physics-and-chemistry-of-the-terrestrial-planets-fall-2008/,"Earth, Atmospheric, and Planetary Sciences","Science, Earth Science, Geophysics, Planetary Science, Science, Earth Science, Geophysics, Planetary Science",https://ocw.mit.edu/courses/12-002-physics-and-chemistry-of-the-terrestrial-planets-fall-2008/35c770380da1494b9a7de22103d59dd4_12-002f08.jpg
11,"Atmosphere, Ocean and Climate Dynamics",Undergraduate,"This undergraduate class is designed to introduce students to the physics that govern the circulation of the ocean and atmosphere. The focus of the course is on the processes that control the climate of the planet.
ACKNOWLEDGMENTS
Prof. Ferrari wishes to acknowledge that this course was originally designed and taught by Prof. John Marshall.
Show less",https://ocw.mit.edu/courses/12-003-atmosphere-ocean-and-climate-dynamics-fall-2008/,"Earth, Atmospheric, and Planetary Sciences","Engineering, Ocean Engineering, Hydrodynamics, Science, Earth Science, Atmospheric Science, Climate Studies, Environmental Science, Geophysics, Oceanography, Engineering, Ocean Engineering, Hydrodynamics, Science, Earth Science, Atmospheric Science, Climate Studies, Environmental Science, Geophysics, Oceanography",https://ocw.mit.edu/courses/12-003-atmosphere-ocean-and-climate-dynamics-fall-2008/0baea9d8a6be259d9417ecb1227f4fb6_12-003f08.jpg
12,Geobiology,Undergraduate,"This course introduces the parallel evolution of life and the environment. Life processes are influenced by chemical and physical processes in the atmosphere, hydrosphere, cryosphere and the solid earth. In turn, life can influence chemical and physical processes on our planet. This course explores the concept of life as a geological agent and examines the interaction between biology and the earth system during the roughly 4 billion years since life first appeared.Show less",https://ocw.mit.edu/courses/12-007-geobiology-spring-2013/,"Earth, Atmospheric, and Planetary Sciences","Science, Earth Science, Geobiology, Science, Earth Science, Geobiology",https://ocw.mit.edu/courses/12-007-geobiology-spring-2013/b037dab4b1ff2ace7a6f6557eb4515af_12-007s13.jpg
13,Modeling Environmental Complexity,Undergraduate,"This course provides an introduction to the study of environmental phenomena that exhibit both organized structure and wide variability—i.e., complexity. Through focused study of a variety of physical, biological, and chemical problems in conjunction with theoretical models, we learn a series of lessons with wide applicability to understanding the structure and organization of the natural world. Students also learn how to construct minimal mathematical, physical, and computational models that provide informative answers to precise questions.
This course is appropriate for advanced undergraduates. Beginning graduate students are encouraged to register for 12.586 (graduate version of 12.086). Students taking the graduate version complete different assignments.
Show less",https://ocw.mit.edu/courses/12-086-modeling-environmental-complexity-fall-2014/,"Earth, Atmospheric, and Planetary Sciences","Engineering, Systems Engineering, Computational Modeling and Simulation, Science, Earth Science, Environmental Science, Engineering, Systems Engineering, Computational Modeling and Simulation, Science, Earth Science, Environmental Science",https://ocw.mit.edu/courses/12-086-modeling-environmental-complexity-fall-2014/181d87a05946cbcffe77af4ccfdb50e0_12-086f14.jpg
14,The Environment of the Earth's Surface,Undergraduate,"A great variety of processes affect the surface of the Earth. Topics to be covered are production and movement of surficial materials; soils and soil erosion; precipitation; streams and lakes; groundwater flow; glaciers and their deposits. The course combines aspects of geology, climatology, hydrology, and soil science to present a coherent introduction to the surface of the Earth, with emphasis on both fundamental concepts and practical applications, as a basis for understanding and intelligent management of the Earth’s physical and chemical environment.Show less",https://ocw.mit.edu/courses/12-090-the-environment-of-the-earths-surface-spring-2007/,"Earth, Atmospheric, and Planetary Sciences","Engineering, Environmental Engineering, Hydrology and Water Resource Systems, Science, Earth Science, Environmental Science, Geology, Geophysics, Planetary Science, Engineering, Environmental Engineering, Hydrology and Water Resource Systems, Science, Earth Science, Environmental Science, Geology, Geophysics, Planetary Science",https://ocw.mit.edu/courses/12-090-the-environment-of-the-earths-surface-spring-2007/6d5c85662cb71dbcf63f913786afa3d4_12-090s07.jpg
15,Science and Policy of Natural Hazards,Undergraduate,"This course examines the science of natural catastrophes such as earthquakes and hurricanes and explores the relationships between the science of and policy toward such hazards. It presents the causes and effects of these phenomena, discusses their predictability, and examines how this knowledge influences policy making. This course includes intensive practice in the writing and presentation of scientific research and summaries for policy makers.Show less",https://ocw.mit.edu/courses/12-103-science-and-policy-of-natural-hazards-spring-2010/,"Earth, Atmospheric, and Planetary Sciences","Science, Earth Science, Social Science, Public Administration, Environmental Policy, Science and Technology Policy, Science, Earth Science, Social Science, Public Administration, Environmental Policy, Science and Technology Policy",https://ocw.mit.edu/courses/12-103-science-and-policy-of-natural-hazards-spring-2010/06e073b6410a6317656d5807eb4efcc7_12-103s10.jpg
16,Weather and Climate Laboratory,Undergraduate,"Course 12.307 is an undergraduate course intended to illustrate, by means of ‘hands on’ projects, the basic dynamical and physical principles that govern the general circulation of the atmosphere and ocean and the day to day sequence of weather events.  The course parallels the content of the new undergraduate textbook Atmosphere, Ocean and Climate Dynamics by John Marshall and R. Alan Plumb.Show less",https://ocw.mit.edu/courses/12-307-weather-and-climate-laboratory-spring-2009/,"Earth, Atmospheric, and Planetary Sciences","Science, Earth Science, Atmospheric Science, Climate Studies, Oceanography, Science, Earth Science, Atmospheric Science, Climate Studies, Oceanography",https://ocw.mit.edu/courses/12-307-weather-and-climate-laboratory-spring-2009/ccde7941ad74114d54bf6b34292748a3_12-307s09.jpg
17,Atmospheric and Ocean Circulations,Undergraduate,"In this course, we will look at many important aspects of the circulation of the atmosphere and ocean, from length scales of meters to thousands of km and time scales ranging from seconds to years. We will assume familiarity with concepts covered in course 12.003 (Physics of the Fluid Earth). In the early stages of the present course, we will make somewhat greater use of math than did 12.003, but the math we will use is no more than that encountered in elementary electromagnetic field theory, for example. The focus of the course is on the physics of the phenomena which we will discuss.Show less",https://ocw.mit.edu/courses/12-333-atmospheric-and-ocean-circulations-spring-2004/,"Earth, Atmospheric, and Planetary Sciences","Science, Earth Science, Atmospheric Science, Climate Studies, Geophysics, Oceanography, Science, Earth Science, Atmospheric Science, Climate Studies, Geophysics, Oceanography",https://ocw.mit.edu/courses/12-333-atmospheric-and-ocean-circulations-spring-2004/fe6bc893da2dd6d499c676b6c749c8b8_12-333s04.jpg
18,Experimental Atmospheric Chemistry,"Undergraduate, Graduate","This course provides an introduction to the atmospheric chemistry involved in climate change, air pollution and biogeochemical cycles using a combination of hands-on laboratory, field studies, and simple computer models. Lectures will be accompanied by field trips to collect air samples for the analysis of gases, aerosols and clouds by the students.Show less",https://ocw.mit.edu/courses/12-335-experimental-atmospheric-chemistry-fall-2014/,"Earth, Atmospheric, and Planetary Sciences","Science, Chemistry, Earth Science, Atmospheric Science, Science, Chemistry, Earth Science, Atmospheric Science",https://ocw.mit.edu/courses/12-335-experimental-atmospheric-chemistry-fall-2014/8de82f5fe0f31b1a5e1d316cb85de3a4_12-335f14.jpg
19,Global Warming Science,Undergraduate,"This course provides students with a scientific foundation of anthropogenic climate change and an introduction to climate models. It focuses on fundamental physical processes that shape climate (e.g. solar variability, orbital mechanics, greenhouse gases, atmospheric and oceanic circulation, and volcanic and soil aerosols) and on evidence for past and present climate change. During the course they discuss material consequences of climate change, including sea level change, variations in precipitation, vegetation, storminess, and the incidence of disease. This course also examines the science behind mitigation and adaptation proposals.Show less",https://ocw.mit.edu/courses/12-340-global-warming-science-spring-2012/,"Earth, Atmospheric, and Planetary Sciences","Energy, Climate, Science, Earth Science, Atmospheric Science, Climate Studies, Environmental Science, Energy, Climate, Science, Earth Science, Atmospheric Science, Climate Studies, Environmental Science",https://ocw.mit.edu/courses/12-340-global-warming-science-spring-2012/8421859d4d573156342e293dc7114232_12-340s12.jpg
20,Paleoceanography,Graduate,"This class examines tools, data, and ideas related to past climate changes as seen in marine, ice core, and continental records. The most recent climate changes (mainly the past 500,000 years, ranging up to about 2 million years ago) will be emphasized. Quantitative tools for the examination of paleoceanographic data will be introduced (statistics, factor analysis, time series analysis, simple climatology).Show less",https://ocw.mit.edu/courses/12-740-paleoceanography-spring-2008/,"Earth, Atmospheric, and Planetary Sciences","Science, Earth Science, Climate Studies, Geochemistry, Geology, Oceanography, Science, Earth Science, Climate Studies, Geochemistry, Geology, Oceanography",https://ocw.mit.edu/courses/12-740-paleoceanography-spring-2008/38f52016823cd44e450b616ef00a157a_12-740s08.jpg
21,"D-Lab: Water, Climate Change, and Health",Undergraduate,"D-Lab: Water, Climate Change, and Health is a project-based, experiential, and transdisciplinary course. Together with peers and experts, we will explore the vitally important interface of water, climate change, and health. This course addresses mitigation and adaptation to climate change as it pertains to water and health. Water-borne illness, malnutrition, and vector-borne diseases represent the top three causes of morbidity and mortality in regions of our focus. Students submit a term project, setting the stage for a lifelong commitment to communicating climate science to a broad public.Show less",https://ocw.mit.edu/courses/ec-719-d-lab-water-climate-change-and-health-spring-2019/,Edgerton Center,"Health and Medicine, Public Health, Science, Earth Science, Climate Studies, Environmental Science, Sustainability, Health and Medicine, Public Health, Science, Earth Science, Climate Studies, Environmental Science, Sustainability",https://ocw.mit.edu/courses/ec-719-d-lab-water-climate-change-and-health-spring-2019/77f600a7b63c1e4abda441b2af62a92e_EC-719S19.jpg
22,Chemicals in the Environment: Toxicology and Public Health (BE.104J),Undergraduate,"This course addresses the challenges of defining a relationship between exposure to environmental chemicals and human disease. Course topics include epidemiological approaches to understanding disease causation; biostatistical methods; evaluation of human exposure to chemicals, and their internal distribution, metabolism, reactions with cellular components, and biological effects; and qualitative and quantitative health risk assessment methods used in the U.S. as bases for regulatory decision-making. Throughout the term, students consider case studies of local and national interest.Show less",https://ocw.mit.edu/courses/20-104j-chemicals-in-the-environment-toxicology-and-public-health-be-104j-spring-2005/,Biological Engineering,"Engineering, Biological Engineering, Biostatistics, Health and Medicine, Pharmacology and Toxicology, Public Health, Science, Earth Science, Environmental Science, Engineering, Biological Engineering, Biostatistics, Health and Medicine, Pharmacology and Toxicology, Public Health, Science, Earth Science, Environmental Science",https://ocw.mit.edu/courses/20-104j-chemicals-in-the-environment-toxicology-and-public-health-be-104j-spring-2005/ab70931f359e46de9e431df1ed019aaf_20-104js05.jpg
23,EarthDNA's Climate 101,Non-Credit,"The Climate 101 presentation was developed by Brandon Leshchinskiy in collaboration with Professor Dava Newman, MIT Portugal, and EarthDNA in an effort to mobilize young people as educators on the issue of climate change. The presentation addresses not only the science but also the economics and civics of climate change, incorporating a negotiation activity that brings key concepts to life.
This resource includes the slides and instructions for the presentation, along with an introductory video from Prof. Newman, a video of Leshchinskiy actually delivering the presentation to a classroom full of students, and extensive supporting materials that will help users to become climate ambassadors and deliver the Climate 101 presentation themselves.
Show less",https://ocw.mit.edu/courses/res-env-003-earthdnas-climate-101-fall-2019/,Unknown,"Science, Earth Science, Climate Studies, Environmental Science, Science, Earth Science, Climate Studies, Environmental Science",https://ocw.mit.edu/courses/res-env-003-earthdnas-climate-101-fall-2019/0a3e0110b49717c4fc338523c72a0cd8_res-env-003f19.jpg
24,"Climate Science, Risk & Solutions: A Climate Primer",Non-Credit,"The goal of the Climate Primer website is to summarize the most important lines of evidence for human-caused climate change. It confronts the stickier questions about uncertainty in our projections, engages in a discussion of risk and risk managment, and concludes by presenting different options for taking action. We hope that the facts prepare you for more effective conversations with your community about values, trade-offs, politics, and actions.
In March 2024, the MIT Environmental Solutions Initiative launched the first major update to the Climate Primer. The updated Primer includes more precise estimates of future global warming and its effects on global temperatures and extreme weather events, important advances in climate modeling, new actions taken around the world to adapt to the impacts of climate change, and the latest data about the pace at which clean energy and other critical climate solutions are being deployed. Read more about the update on the MIT Environmental Solutions website.
Show less",https://ocw.mit.edu/courses/res-env-005-climate-science-risk-solutions-a-climate-primer-fall-2020/,Unknown,"Energy, Climate, Technology, Science, Earth Science, Climate Studies, Sustainability, Energy, Climate, Technology, Science, Earth Science, Climate Studies, Sustainability",https://ocw.mit.edu/courses/res-env-005-climate-science-risk-solutions-a-climate-primer/37be82fa3a6b26e59b1086a57f553849_RES-ENV-005F20.png
25,Groundwater Hydrology,Graduate,"This course covers fundamentals of subsurface flow and transport, emphasizing the role of groundwater in the hydrologic cycle, the relation of groundwater flow to geologic structure, and the management of contaminated groundwater. The class includes laboratory and computer demonstrations.",https://ocw.mit.edu/courses/1-72-groundwater-hydrology-fall-2005/,Civil and Environmental Engineering,"Engineering, Environmental Engineering, Hydrology and Water Resource Systems, Science, Earth Science, Geology, Engineering, Environmental Engineering, Hydrology and Water Resource Systems, Science, Earth Science, Geology",https://ocw.mit.edu/courses/1-72-groundwater-hydrology-fall-2005/9421d305756c28fd7b8450cd18b4e5a0_1-72f05.jpg
26,Theoretical Environmental Analysis,Undergraduate,"This course analyzes cooperative processes that shape the natural environment, now and in the geologic past. It emphasizes the development of theoretical models that relate the physical and biological worlds, the comparison of theory to observational data, and associated mathematical methods.",https://ocw.mit.edu/courses/12-009j-theoretical-environmental-analysis-spring-2015/,"Earth, Atmospheric, and Planetary Sciences","Science, Biology, Ecology, Earth Science, Atmospheric Science, Climate Studies, Science, Biology, Ecology, Earth Science, Atmospheric Science, Climate Studies",https://ocw.mit.edu/courses/12-009j-theoretical-environmental-analysis-spring-2015/9e11b73d7a358907166b8c1b41463f01_12-009js15.jpg
27,Climate Physics and Chemistry,Graduate,"This course introduces students to climate studies, including beginnings of the solar system, time scales, and climate in human history. It is offered to both undergraduate and graduate students with different requirements.",https://ocw.mit.edu/courses/12-842-climate-physics-and-chemistry-fall-2008/,"Earth, Atmospheric, and Planetary Sciences","Science, Earth Science, Atmospheric Science, Climate Studies, Geochemistry, Geophysics, Planetary Science, Science, Earth Science, Atmospheric Science, Climate Studies, Geochemistry, Geophysics, Planetary Science",https://ocw.mit.edu/courses/12-842-climate-physics-and-chemistry-fall-2008/ed67b7a6382e5eb91cf2ab53b29de117_12-842f08.jpg
28,Introduction to Civil and Environmental Engineering Design I,Undergraduate,"In this sophomore design course, you will be challenged with three design tasks: a first concerning water resources/treatment, a second concerning structural design, and a third focusing on the conceptual (re)design of a large system, Boston’s Back Bay. The first two tasks require the design, fabrication and testing of hardware. Several laboratory experiments will be carried out and lectures will be presented to introduce students to the conceptual and experimental basis for design in both domains.
This course was based in large part on the Fall 2005 offering of 1.101, developed by Prof. Harold Hemond.
Show less",https://ocw.mit.edu/courses/1-101-introduction-to-civil-and-environmental-engineering-design-i-fall-2006/,Civil and Environmental Engineering,"Engineering, Civil Engineering, Environmental Engineering, Engineering, Civil Engineering, Environmental Engineering",https://ocw.mit.edu/courses/1-101-introduction-to-civil-and-environmental-engineering-design-i-fall-2006/7315eeb76ec2f89fdaa0c31e38a417ca_1-101f06.jpg
29,Public Transportation Systems,Graduate,"This course discusses the evolution and role of urban public transportation modes, systems, and services, focusing on bus and rail. It covers various topics, including current practice and new methods for data collection and analysis, performance monitoring, route design, frequency determination, vehicle and crew scheduling, effect of pricing policy and service quality on ridership.Show less",https://ocw.mit.edu/courses/1-258j-public-transportation-systems-spring-2017/,Civil and Environmental Engineering,"Engineering, Civil Engineering, Transportation Engineering, Social Science, Urban Studies, Transportation Planning, Engineering, Civil Engineering, Transportation Engineering, Social Science, Urban Studies, Transportation Planning",https://ocw.mit.edu/courses/1-258j-public-transportation-systems-spring-2017/f05dd8f8311ee9d6d192ab981cbbdf3e_1-258Js17.jpg
30,Urban Energy Systems and Policy,"Undergraduate, Graduate","This class is about figuring out together what cities and users can do to reduce their energy use and carbon emissions. Many other classes at MIT focus on policies, technologies, and systems, often at the national or international level, but this course focuses on the scale of cities and users. It is designed for any students interested in learning how to intervene in the energy use of cities using policy, technology, economics, and urban planning.Show less",https://ocw.mit.edu/courses/11-165j-urban-energy-systems-and-policy-fall-2022/,Urban Studies and Planning,"Energy, Social Science, Urban Studies, Urban Planning, Energy, Social Science, Urban Studies, Urban Planning",https://ocw.mit.edu/courses/11-165j-urban-energy-systems-and-policy-fall-2022/11-165f21.jpg
31,Urban Transportation Planning,Graduate,"This course examines the policy, politics, planning, and engineering of transportation systems in urban areas, with a special focus on the Boston area. It covers the role of the federal, state, and local government and the MPO, public transit in the era of the automobile, analysis of current trends and pattern breaks; analytical tools for transportation planning, traffic engineering, and policy analysis; the contribution of transportation to air pollution, social costs, and climate change; land use and transportation interactions, and more. Transportation sustainability is a central theme throughout the course, as well as consideration of if and how it is possible to resolve the tension between the three E’s (environment, economy, and equity). The goal of this course is to elicit discussion, stimulate independent thinking, and encourage students to understand and challenge the “conventional wisdom” of transportation planning.Show less",https://ocw.mit.edu/courses/1-252j-urban-transportation-planning-fall-2016/,Civil and Environmental Engineering,"Engineering, Civil Engineering, Transportation Engineering, Social Science, Public Administration, Public Policy, Urban Studies, Transportation Planning, Urban Planning, Engineering, Civil Engineering, Transportation Engineering, Social Science, Public Administration, Public Policy, Urban Studies, Transportation Planning, Urban Planning",https://ocw.mit.edu/courses/1-252j-urban-transportation-planning-fall-2016/da01775110f44dcb70ce6a87159c9ef3_1-252F16.jpg
32,Water Resource Systems,Graduate,"This subject is concerned with quantitative methods for analyzing large-scale water resource problems. Topics covered include the design and management of facilities for river basin development, flood control, water supply, groundwater remediation, and other activities related to water resources. Simulation models and optimization methods are often used to support analyses of water resource problems. In this subject we will be constructing simulation models with the MATLAB® programming language and solving numerical optimization problems with the GAMS optimization package.Show less",https://ocw.mit.edu/courses/1-731-water-resource-systems-fall-2006/,Civil and Environmental Engineering,"Engineering, Environmental Engineering, Aquatic Sciences and Water Quality Control, Hydrodynamics and Coastal Engineering, Hydrology and Water Resource Systems, Engineering, Environmental Engineering, Aquatic Sciences and Water Quality Control, Hydrodynamics and Coastal Engineering, Hydrology and Water Resource Systems",https://ocw.mit.edu/courses/1-731-water-resource-systems-fall-2006/7ddf960729a6748d9d037592aecf12c6_1-731f06.jpg
